Item,Quantity,Measurment,Kind,Arabic Name,Date
Cilantro,1,Bunch,Vegetable,كزبرة,"Jan, 22, 18"
Dill,1,Bunch,Vegetable,شبث,"Jan, 22, 18"
Mint,1,Bunch,Vegetable,نعناع,"Jan, 22, 18"
Romaine Lettuce,2,Each,Vegetable,خس طويل,"Jan, 22, 18"
Jew's Mallow,2,Bunch,Vegetable,ملوخية,"Jan, 22, 18"
Green Onion,1,Bunch,Vegetable,بصل أخضر,"Jan, 22, 18"
Purslane,1,Bunch,Vegetable,بقلة,"Jan, 22, 18"
Spinach,2,Bunch,Vegetable,سبانخ,"Jan, 22, 18"
Arugula,3,Bunch,Vegetable,جرجير,"Jan, 22, 18"
Chestnut,1,Small Box,Vegetable,كستناء,"Jan, 22, 18"
